
index,name,x,y
1, 'method login',1626524425060.0,1626524425060.0 
2,'sub meteor.loginServiceConfiguration',1626524425061.0,1626524425061.0 
3,'sub meteor_autoupdate_clientVersions',1626524425062.0,1626524425062.0 
4,'sub tasks',1626524425093.0,1626524425093.0 
5, 'method tasks.setIsChecked',1626524432202.0,1626524432202.0 
6, 'method tasks.setIsChecked',1626524434257.0,1626524434257.0 
7, 'method tasks.remove',1626524437377.0,1626524437377.0 
8, 'method logout',1626524440392.0,1626524440392.0 
9, 'method login',1626524444094.0,1626524444094.0 
10,'sub tasks',1626524444204.0,1626524444204.0 
11, 'method tasks.insert',1626524449198.0,1626524449198.0 
12, 'method logout',1626524452422.0,1626524452422.0 
1,'sub meteor.loginServiceConfiguration',1626524455406.0,1626524455406.0 
2,'sub meteor_autoupdate_clientVersions',1626524455408.0,1626524455408.0 
3, 'method login',1626524459310.0,1626524459310.0 
4,'sub tasks',1626524459427.0,1626524459427.0 
5, 'method tasks.remove',1626524463183.0,1626524463183.0 
6, 'method tasks.setIsChecked',1626524464411.0,1626524464411.0 
7, 'method tasks.setIsChecked',1626524466016.0,1626524466016.0 
8, 'method tasks.insert',1626524470778.0,1626524470778.0 
9, 'method tasks.setIsChecked',1626524477050.0,1626524477050.0 
10, 'method logout',1626524478902.0,1626524478902.0 
1,'sub meteor.loginServiceConfiguration',1626524484151.0,1626524484151.0 
2,'sub meteor_autoupdate_clientVersions',1626524484152.0,1626524484152.0 
3, 'method login',1626524487561.0,1626524487561.0 
4, 'method login',1626524493584.0,1626524493584.0 
5,'sub tasks',1626524493676.0,1626524493676.0 
6, 'method tasks.setIsChecked',1626524495424.0,1626524495424.0 
7, 'method logout',1626524497530.0,1626524497530.0 
8, 'method login',1626524500559.0,1626524500559.0 
9,'sub tasks',1626524500662.0,1626524500662.0 
10, 'method tasks.setIsChecked',1626524512233.0,1626524512233.0 
11, 'method tasks.remove',1626524514586.0,1626524514586.0 
1, 'method login',1626524516594.0,1626524516594.0 
