
index,name,x,y
1,'sub meteor.loginServiceConfiguration',1626524484151.0,1626524484151.0 
2,'sub meteor_autoupdate_clientVersions',1626524484152.0,1626524484152.0 
3, 'method login',1626524487561.0,1626524487561.0 
4, 'method login',1626524493584.0,1626524493584.0 
5,'sub tasks',1626524493676.0,1626524493676.0 
6, 'method tasks.setIsChecked',1626524495424.0,1626524495424.0 
7, 'method logout',1626524497530.0,1626524497530.0 
8, 'method login',1626524500559.0,1626524500559.0 
9,'sub tasks',1626524500662.0,1626524500662.0 
10, 'method tasks.setIsChecked',1626524512233.0,1626524512233.0 
11, 'method tasks.remove',1626524514586.0,1626524514586.0 
